anime_title;favorite_count
はたらく細胞;109097
転生したらスライムだった件;101169
Re：ゼロから始める異世界生活;94928
ソードアート・オンライン アリシゼーション;83388
魔法使いの嫁;79860
ソードアート・オンライン;78897
魔法科高校の劣等生;77616
ゴブリンスレイヤー;74045
この素晴らしい世界に祝福を！;71734
とある魔術の禁書目録III;70161
ソードアート・オンラインII;68576
ソードアート・オンライン オルタナティブ ガンゲイル・オンライン;67731
衛宮さんちの今日のごはん;66142
この素晴らしい世界に祝福を！２;64787
進撃の巨人 Season 3;64579
異世界食堂;62660
青春ブタ野郎はバニーガール先輩の夢を見ない;62579
氷菓;62552
シュタインズ・ゲート ゼロ;62361
ノーゲーム・ノーライフ;62262
オーバーロード;60253
ダーリン・イン・ザ・フランキス;59638
エロマンガ先生;59231
オーバーロード3;58550
ブラッククローバー;57630
"STEINS;GATE";57047
夏目友人帳;56851
オーバーロード2;56672
異世界魔王と召喚少女の奴隷魔術;56668
文豪ストレイドッグス;55864
ゆるキャン△;55559
ダンジョンに出会いを求めるのは間違っているだろうか;54847
GATE(ゲート) 自衛隊 彼の地にて、斯く戦えり;53973
進撃の巨人 Season 2;53773
PSYCHO-PASS　サイコパス;52933
TVアニメ「Fate/stay night [Unlimited Blade Works]」;52391
「鬼灯の冷徹」第弐期;52207
僕のヒーローアカデミア;52204
四月は君の嘘;51759
月刊少女野崎くん;51588
とある魔術の禁書目録;51377
コードギアス　反逆のルルーシュ;51321
幼女戦記;50928
デスマーチからはじまる異世界狂想曲;50220
けものフレンズ;49719
カードキャプターさくら クリアカード編;49552
化物語;49068
血界戦線;48989
SSSS.GRIDMAN;48392
ソードアート・オンライン Extra Edition;48290
鋼の錬金術師 FULLMETAL ALCHEMIST;47913
僕のヒーローアカデミア（第2期）;47323
ポプテピピック;46314
七つの大罪 戒めの復活;46302
異世界はスマートフォンとともに。;46093
ロクでなし魔術講師と禁忌教典;46077
とある科学の超電磁砲;45908
Fate/stay night;45650
僕だけがいない街;45620
マクロスΔ(デルタ);45357
七つの大罪;44717
TVアニメ「ペルソナ５」;44566
機動戦士ガンダム 鉄血のオルフェンズ;43945
「鬼灯の冷徹」第壱期;43500
宝石の国;43471
ソード・オラトリア　ダンジョンに出会いを求めるのは間違っているだろうか外伝;42572
僕のヒーローアカデミア（第3期）;42444
ジョジョの奇妙な冒険 黄金の風;42370
ギルティクラウン;42288
夏目友人帳 伍;41826
あの日見た花の名前を僕達はまだ知らない。;41299
銀魂 (1年目);40525
冴えない彼女の育てかた;40368
とらドラ!;40337
日常;40172
あそびあそばせ;40120
ユーリ!!! on ICE;40089
SHIROBAKO;39925
コードギアス　反逆のルルーシュR2;39828
カードキャプターさくら　クロウカード編;39765
劇場版 魔法科高校の劣等生 星を呼ぶ少女;39697
ようこそ実力至上主義の教室へ;39686
とある魔術の禁書目録II;39375
ゾンビランドサガ;39352
東京喰種トーキョーグール：re;38972
坂本ですが？;38840
ブレンド・S;38764
終末なにしてますか？忙しいですか？救ってもらっていいですか？;38634
ご注文はうさぎですか？;38608
はたらく魔王さま！;38592
東京喰種トーキョーグール;38481
ハイキュー!!;38342
夏目友人帳 陸;38250
偽物語;38109
かくりよの宿飯;38014
マクロスＦ;37977
アホガール;37942
魔法少女まどか☆マギカ;37881
Fate/Zero;37879
とある科学の超電磁砲S;37847
ラーメン大好き小泉さん;37771
ハイキュー!!セカンドシーズン;37752
ヒナまつり;37711
政宗くんのリベンジ ;37657
